userid, group99999, temp, 23.83, sample_timestamp, 17:56:43, received timestamp, 13/14:56:54, Message length, 318
userid, group99999, temp, 23.83, sample_timestamp, 17:56:46, received timestamp, 13/14:56:54, Message length, 318
userid, group99999, temp, 23.83, sample_timestamp, 17:56:49, received timestamp, 13/14:56:54, Message length, 318
userid, group99999, temp, 23.83, sample_timestamp, 17:56:51, received timestamp, 13/14:56:54, Message length, 318
userid, group99999, temp, 23.83, sample_timestamp, 17:56:53, received timestamp, 13/14:56:54, Message length, 318
userid, group99999, temp, 23.83, sample_timestamp, 17:56:56, received timestamp, 13/14:57:05, Message length, 318
userid, group99999, temp, 23.83, sample_timestamp, 17:56:58, received timestamp, 13/14:57:05, Message length, 318
userid, group99999, temp, 23.83, sample_timestamp, 17:57:00, received timestamp, 13/14:57:05, Message length, 318
userid, group99999, temp, 23.83, sample_timestamp, 17:57:03, received timestamp, 13/14:57:05, Message length, 318
userid, group99999, temp, 23.83, sample_timestamp, 17:57:05, received timestamp, 13/14:57:05, Message length, 318
userid, group99999, temp, 25.52, sample_timestamp, 13:12:01, received timestamp, 14/10:12:11, Message length, 318
userid, group99999, temp, 25.52, sample_timestamp, 13:12:04, received timestamp, 14/10:12:11, Message length, 318
userid, group99999, temp, 25.52, sample_timestamp, 13:12:06, received timestamp, 14/10:12:11, Message length, 318
userid, group99999, temp, 25.52, sample_timestamp, 13:12:08, received timestamp, 14/10:12:11, Message length, 318
userid, group99999, temp, 25.52, sample_timestamp, 13:12:11, received timestamp, 14/10:12:11, Message length, 318
userid, group99999, temp, 25.52, sample_timestamp, 13:12:13, received timestamp, 14/10:12:24, Message length, 318
userid, group99999, temp, 25.52, sample_timestamp, 13:12:16, received timestamp, 14/10:12:24, Message length, 318
userid, group99999, temp, 25.52, sample_timestamp, 13:12:18, received timestamp, 14/10:12:24, Message length, 318
userid, group99999, temp, 25.52, sample_timestamp, 13:12:21, received timestamp, 14/10:12:24, Message length, 318
userid, group99999, temp, 25.52, sample_timestamp, 13:12:24, received timestamp, 14/10:12:24, Message length, 318
userid, group99999, temp, 26.38, sample_timestamp, 13:16:33, received timestamp, 14/10:16:43, Message length, 301
userid, group99999, temp, 26.38, sample_timestamp, 13:16:35, received timestamp, 14/10:16:43, Message length, 301
userid, group99999, temp, 26.38, sample_timestamp, 13:16:37, received timestamp, 14/10:16:43, Message length, 301
userid, group99999, temp, 26.38, sample_timestamp, 13:16:40, received timestamp, 14/10:16:43, Message length, 301
userid, group99999, temp, 26.38, sample_timestamp, 13:16:42, received timestamp, 14/10:16:43, Message length, 301
userid, group99999, temp, 26.38, sample_timestamp, 13:16:45, received timestamp, 14/10:16:56, Message length, 313
userid, group99999, temp, 26.38, sample_timestamp, 13:16:47, received timestamp, 14/10:16:56, Message length, 313
userid, group99999, temp, 26.38, sample_timestamp, 13:16:50, received timestamp, 14/10:16:56, Message length, 313
userid, group99999, temp, 26.38, sample_timestamp, 13:16:52, received timestamp, 14/10:16:56, Message length, 313
userid, group99999, temp, 26.38, sample_timestamp, 13:16:55, received timestamp, 14/10:16:56, Message length, 313
userid, group99999, temp, 26.38, sample_timestamp, 13:16:58, received timestamp, 14/10:17:10, Message length, 318
userid, group99999, temp, 26.38, sample_timestamp, 13:17:00, received timestamp, 14/10:17:10, Message length, 318
userid, group99999, temp, 26.38, sample_timestamp, 13:17:03, received timestamp, 14/10:17:10, Message length, 318
userid, group99999, temp, 26.38, sample_timestamp, 13:17:06, received timestamp, 14/10:17:10, Message length, 318
userid, group99999, temp, 26.38, sample_timestamp, 13:17:09, received timestamp, 14/10:17:10, Message length, 318
userid, group99999, temp, 26.38, sample_timestamp, 13:17:12, received timestamp, 14/10:17:24, Message length, 303
userid, group99999, temp, 26.38, sample_timestamp, 13:17:14, received timestamp, 14/10:17:24, Message length, 303
userid, group99999, temp, 26.38, sample_timestamp, 13:17:17, received timestamp, 14/10:17:24, Message length, 303
userid, group99999, temp, 26.38, sample_timestamp, 13:17:20, received timestamp, 14/10:17:24, Message length, 303
userid, group99999, temp, 26.38, sample_timestamp, 13:17:23, received timestamp, 14/10:17:24, Message length, 303
userid, group99999, temp, 26.38, sample_timestamp, 13:17:26, received timestamp, 14/10:17:35, Message length, 316
userid, group99999, temp, 26.38, sample_timestamp, 13:17:28, received timestamp, 14/10:17:35, Message length, 316
userid, group99999, temp, 26.38, sample_timestamp, 13:17:30, received timestamp, 14/10:17:35, Message length, 316
userid, group99999, temp, 26.38, sample_timestamp, 13:17:32, received timestamp, 14/10:17:35, Message length, 316
userid, group99999, temp, 26.38, sample_timestamp, 13:17:35, received timestamp, 14/10:17:35, Message length, 316
userid, group99999, temp, 26.38, sample_timestamp, 13:17:37, received timestamp, 14/10:17:47, Message length, 311
userid, group99999, temp, 26.38, sample_timestamp, 13:17:39, received timestamp, 14/10:17:47, Message length, 311
userid, group99999, temp, 26.38, sample_timestamp, 13:17:42, received timestamp, 14/10:17:47, Message length, 311
userid, group99999, temp, 26.38, sample_timestamp, 13:17:44, received timestamp, 14/10:17:47, Message length, 311
userid, group99999, temp, 26.38, sample_timestamp, 13:17:47, received timestamp, 14/10:17:47, Message length, 311
userid, group99999, temp, 26.38, sample_timestamp, 13:17:49, received timestamp, 14/10:18:01, Message length, 312
userid, group99999, temp, 26.38, sample_timestamp, 13:17:52, received timestamp, 14/10:18:01, Message length, 312
userid, group99999, temp, 26.38, sample_timestamp, 13:17:55, received timestamp, 14/10:18:01, Message length, 312
userid, group99999, temp, 26.38, sample_timestamp, 13:17:57, received timestamp, 14/10:18:01, Message length, 312
